Forest Type,Count,Mean,Median,Std Dev,Min,Max,10th Percentile,25th Percentile,75th Percentile,90th Percentile,Skewness,Kurtosis
ENF - Evergreen Needleleaf,29010,2.5284994,1.8435059,2.5666203,0.42599407,49.61062,0.9988605558872223,1.2723066806793213,3.1377503871917725,4.388178825378419,6.401973857854173,62.776186001523556
EBF - Evergreen Broadleaf,74763,27.742682,29.148975,4.4715066,1.1765912,40.275856,21.54375343322754,26.9128999710083,30.11283588409424,31.029012298583986,-2.3322419408248147,7.8449811321034755
DNF - Deciduous Needleleaf,1538,2.819028,3.2146838,0.6897887,1.0625787,3.7284768,1.6724544167518616,2.3586620688438416,3.350761890411377,3.3882171869277955,-1.0596223935625304,-0.13921039750094533
DBF - Deciduous Broadleaf,19852,9.672717,4.616046,9.122087,0.47381485,47.215515,2.0490276098251345,3.197144389152527,17.31053924560547,25.57461757659912,0.9990334924888209,-0.6120073713535334
MF - Mixed Forest,63282,3.975224,2.714769,5.0582485,0.418966,51.51226,1.031264555454254,1.2831023037433624,4.08927845954895,6.739534235000612,3.4347434012442206,12.606974579330394
WSA - Woody Savannas,125583,6.5361195,3.2272635,8.505919,0.4235095,54.009293,1.2070909380912784,1.8117798268795013,4.110067248344421,22.622133827209478,1.8985273429110103,2.2422156385493395
SAV - Savannas,158349,13.068014,4.4988775,11.34812,0.4106812,38.350895,1.7436007976531982,3.192188858985901,25.004308700561523,29.202219581604012,0.3547697579675576,-1.6373364728241104
